,clue,clue_pos,clue_pos1,basis_pos,basis_pos1,result_pos ,result_pos1
,を背景に,,,名詞,,,
,を背景に、,,,名詞,,,
,を受け、,,,名詞,,,
,に伴う,,,名詞,,,
,に伴い、,,,名詞,,,
,によっています。,,,名詞,,,
,のためであります。,,,名詞,,,
,によっております。,,,名詞,,,
,によります。,,,名詞,,,
,を受けております。,,,名詞,,,
,で、,,,名詞,,,
,ので、,"助詞,記号","接続助詞,読点",動詞,,,
,ので,助詞,接続助詞,動詞,,,
,なので,"助動詞,助詞",",接続助詞",動詞,,,
,なので、,"助動詞,助詞,記号",",接続助詞,読点",動詞,,,
,ので、,"助詞,記号","接続助詞,読点",名詞,,,
,ので,助詞,接続助詞,名詞,,,
,なので,"助動詞,助詞",",接続助詞",名詞,,,
,なので、,"助動詞,助詞,記号",",接続助詞,読点",名詞,,,
,が響いている。,,,名詞,,,
,が響いている,,,名詞,,,
,が響く,,,名詞,,,
,ため。,,,動詞,,,
,ため、,"名詞,記号","非自立,読点",動詞,,,
,ためである。,,,動詞,,,
,ためです。,,,動詞,,,
,ためだ。,,,動詞,,,
,ためで、,"名詞,助詞,記号","非自立,格助詞,読点",動詞,,,
,のため。,,,名詞,,,
,のため、,"助詞,名詞,記号","連体化,非自立,読点",名詞,,,
,のためである。,,,名詞,,,
,のためです。,,,名詞,,,
,のためだ。,,,名詞,,,
,のためで、,"助詞,名詞,助詞,記号","連体化,非自立,格助詞,読点",名詞,,,
,なため。,,,名詞,,,
,なため、,"助動詞,名詞,記号",",非自立,読点",名詞,,,
,なためである。,,,名詞,,,
,なためです。,,,名詞,,,
,なためだ。,,,名詞,,,
,なためで、,"助動詞,名詞,助詞,記号",",非自立,格助詞,読点",名詞,,,
,ためで,"名詞,助詞,記号","非自立,格助詞,読点",動詞,,,
,に伴い,,,名詞,,,
,ておきますと,,,動詞,,,
,ておくと,,,動詞,,,
,を受けて、,,,名詞,,,
,理由で,,,動詞,,,
,な理由で,,,名詞,,,
,の理由で,,,名詞,,,
,な理由は,,,名詞,,,
,の理由は,,,名詞,,,
,理由は,,,動詞,,,
,による。,,,名詞,,,
,だからである。,,,名詞,,,
,だからです。,,,名詞,,,
,だからだ。,,,名詞,,,
,が影響しました。,,,名詞,,,
,が影響した。,,,名詞,,,
,ため」,,,名詞,,,
,が響きました。,,,名詞,,,
,が響いた。,,,名詞,,,
,から、,"助詞,記号","接続助詞,読点",動詞,,,
,から,助詞,接続助詞,動詞,,,
,を受けて,,,名詞,,,
,が響き、,,,名詞,,,
,を反映し、,,,名詞,,,
,によって,,,名詞,,,
,により,助詞,格助詞,名詞,,,
,により、,"助詞,記号","格助詞,読点",名詞,,,
,に支えられて,,,名詞,,,
,をきっかけに,,,名詞,,,
,を契機に,,,名詞,,,
,を反映して,,,名詞,,,
,このため、,,,,,,
,このため,,,,,,
,そのため、,,,,,,
,そのため,,,,,,
,その結果、,,,,,,
,この結果、,,,,,,
,なので、,,,,,,
,だから、,,,,,,
,なので,,,,,,
,だから,,,,,,
,ですので、,,,,,,
,ということで、,,,,,,
,これにより、,,,,,,
,それにより、,,,,,,
,ことで,"名詞,助動詞",非自立,動詞,,,
,そうすることで、,,,,,,
,こうすることで、,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
