,clue,clue_pos,clue_pos1,basis_pos,basis_pos1,result_pos,result_pos1,
,とは、,"助詞,助詞,記号","格助詞,係助詞,読点",名詞,,,,
,とは、,"助詞,助詞,記号","格助詞,係助詞,読点",動詞,,,,
,とは,"助詞,助詞","格助詞,係助詞",名詞,,,,
,とは,"助詞,助詞","格助詞,非自立,係助詞",動詞,,,,
,というのは,"助詞,名詞,助詞","格助詞,非自立,係助詞",名詞,,,,
,というのは,"助詞,名詞,助詞","格助詞,非自立,係助詞",動詞,,,,
,というのは、,"助詞,名詞,助詞,記号","格助詞,非自立,係助詞,記号",名詞,,,,
,というのは、,"助詞,名詞,助詞,記号","格助詞,非自立,係助詞,記号",動詞,,,,
,は、,"助詞,記号","係助詞,読点",名詞,,,,
,は,助詞,係助詞,名詞,,,,
,です,,,,,,,
,である,,,,,,,
,だ,,,,,,,
,とされている,,,,,,,
,指す,,,,,,,
,と言われる。,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
